,Unnamed: 0,team_name,team_score,first_qt,second_qt,third_qt,fourth_qt,ot
0,0,Chiefs,42,7,7,7,21,
1,1,Patriots,27,7,10,10,0,
2,2,Steelers,21,7,7,7,0,
3,3,Browns,18,7,0,3,8,
4,4,Cardinals,23,10,0,7,6,
5,5,Lions,35,0,9,6,20,
6,6,Jaguars,29,3,16,7,3,
7,7,Texans,7,0,0,7,0,
8,8,Raiders,26,7,6,3,10,
9,9,Titans,16,7,3,3,3,
10,10,Eagles,30,7,9,3,11,
11,11,Redskins,17,0,14,3,0,
12,12,Ravens,20,3,14,3,0,
13,13,Bengals,0,0,0,0,0,
14,14,Falcons,23,3,7,3,10,
15,15,Bears,17,0,10,0,7,
16,16,Jets,12,0,6,6,0,
17,17,Bills,21,0,7,7,7,
18,18,Colts,9,3,0,0,6,
19,19,Rams,46,10,17,10,9,
20,20,Seahawks,9,0,3,3,3,
21,21,Packers,17,0,0,14,3,
22,22,Panthers,23,7,6,10,0,
23,23,49ers,3,0,0,3,0,
24,24,Giants,3,0,0,3,0,
25,25,Cowboys,19,3,13,0,3,
26,26,Saints,19,3,3,3,10,
27,27,Vikings,29,3,13,3,10,
28,28,Chargers,21,0,7,0,14,
29,29,Broncos,24,7,7,10,0,
30,30,Texans,13,3,7,0,3,
31,31,Bengals,9,0,6,3,0,
32,32,Browns,10,0,7,3,0,
33,33,Ravens,24,7,14,0,3,
34,34,Bears,7,0,0,0,7,
35,35,Buccaneers,29,10,16,0,3,
36,36,Vikings,9,0,3,6,0,
37,37,Steelers,26,7,7,6,6,
38,38,Patriots,36,20,10,3,3,
39,39,Saints,20,3,10,0,7,
40,40,Eagles,20,3,0,7,10,
41,41,Chiefs,27,3,3,7,14,
42,42,Titans,37,3,3,17,14,
43,43,Jaguars,16,3,0,0,13,
44,44,Cardinals,16,0,3,0,10,3.0
45,45,Colts,13,10,0,0,3,0.0
46,46,Bills,3,0,0,0,3,
47,47,Panthers,9,3,3,0,3,
48,48,Jets,20,0,10,3,7,
49,49,Raiders,45,7,14,7,17,
50,50,Dolphins,19,3,0,10,6,
51,51,Chargers,17,0,10,7,0,
52,52,49ers,9,0,6,0,3,
53,53,Seahawks,12,6,0,0,6,
54,54,Redskins,27,3,17,0,7,
55,55,Rams,20,0,10,7,3,
56,56,Cowboys,17,0,10,0,7,
57,57,Broncos,42,7,14,14,7,
58,58,Packers,23,7,0,3,13,
59,59,Falcons,34,7,17,10,0,
60,60,Lions,24,7,10,0,7,
61,61,Giants,10,0,7,3,0,
