,Unnamed: 0,Unnamed: 0.1,team_name,points,yards,pass_yards,rush_yards
0,0,0,ARI,17.6,328.2,258.9,69.3
1,1,1,ATL,23.1,359.1,245.4,113.7
2,2,2,BAL,21.3,279.8,165.2,114.6
3,3,3,BUF,20.8,302.1,184.4,117.7
4,4,4,CAR,21.3,336.6,209.0,127.6
5,5,5,CHI,17.4,302.2,170.4,131.8
6,6,6,CIN,16.9,265.6,197.6,68.0
7,7,7,CLE,15.0,300.7,199.5,101.2
8,8,8,DAL,22.5,333.5,198.7,134.8
9,9,9,DEN,18.3,329.8,216.9,112.9
10,10,10,DET,26.7,333.9,255.6,78.3
11,11,11,GB,20.4,308.8,206.4,102.4
12,12,12,HOU,26.7,350.0,221.5,128.5
13,13,13,IND,17.9,300.8,204.9,95.9
14,14,14,JAX,24.5,362.1,201.5,160.6
15,15,15,KC,26.2,370.9,252.5,118.4
16,16,16,LAC,22.6,357.1,263.9,93.2
17,17,17,LA,30.3,375.4,255.0,120.4
18,18,18,MIA,15.7,292.3,211.9,80.4
19,19,19,MIN,24.6,375.7,251.3,124.5
20,20,20,NE,29.0,410.6,304.6,106.0
21,21,21,NO,30.2,415.7,271.7,144.0
22,22,22,NYG,16.2,308.5,216.5,92.0
23,23,23,NYJ,20.1,306.9,205.3,101.6
24,24,24,OAK,20.4,326.5,236.8,89.7
25,25,25,PHI,32.0,377.6,233.0,144.6
26,26,26,PIT,22.7,357.5,255.1,102.4
27,27,27,SF,17.4,325.9,224.4,101.5
28,28,28,SEA,24.2,367.6,263.4,104.2
29,29,29,TB,20.3,342.8,263.0,79.8
30,30,30,TEN,22.2,327.4,209.9,117.5
31,31,31,WAS,23.8,359.4,256.8,102.6
